frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
270,2025-06-23 11:07:58,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:07:58,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:07:59,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:08:00,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:08:00,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:08:01,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:08:57,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:08:58,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:08:58,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:08:59,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:09:00,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:09:00,none,none,-1,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:09:35,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:09:36,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:09:37,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:09:37,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:09:38,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:09:39,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:09:39,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:09:40,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:09:41,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:09:41,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:09:42,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:09:42,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:09:43,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:09:44,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:11:54,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:11:55,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:11:56,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:11:56,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:11:57,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:11:58,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:11:59,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:11:59,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:12:00,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:12:02,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:12:03,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:12:03,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:12:04,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:12:05,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:17:16,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:17:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:17:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:17:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:17:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:17:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:17:20,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:17:21,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:17:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:17:23,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:17:23,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:17:24,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:17:25,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:17:25,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
